day_date,start,end,duration_min,room,title,type,track,speakers,url,event_id,guid
2025-09-25,2025-09-25T10:35:00+02:00,2025-09-25T11:10:00+02:00,35,Apollo,"Should Captain America Still Host Your Data? A Call for Open, EU-Based Data Platforms.",Talk,,Manuel Spierenburg,https://cfp.pydata.org/pydata-amsterdam-2025/talk/9UDSCY/,77873,51183529-5f18-53db-b99c-a0543730d36f
2025-09-25,2025-09-25T10:35:00+02:00,2025-09-25T11:10:00+02:00,35,Nebula,Uncertainty Unleashed: Wrapping Your Predictions in Honesty with Conformal Prediction,Talk,,Konstantinos Tsoumas,https://cfp.pydata.org/pydata-amsterdam-2025/talk/NWBXUB/,77553,6c8aa59d-ab5a-565d-9b54-f7e9037c6fc0
2025-09-25,2025-09-25T10:35:00+02:00,2025-09-25T11:10:00+02:00,35,Orbit,"Diversity Isn’t a Buzzword, It’s a Business Case",Talk,,Başak Eskili,https://cfp.pydata.org/pydata-amsterdam-2025/talk/3393HE/,81716,6e1d52f8-dd67-51b9-b07d-2d2c50a97a09
2025-09-25,2025-09-25T10:35:00+02:00,2025-09-25T11:10:00+02:00,35,Voyager,Large-Scale Video Intelligence,Talk,,"Irene Donato, Antonino Ingargiola",https://cfp.pydata.org/pydata-amsterdam-2025/talk/NCPYEE/,77601,3c6a6202-6090-5f71-9c42-c773669a9443
2025-09-25,2025-09-25T11:20:00+02:00,2025-09-25T11:55:00+02:00,35,Apollo,Counting Groceries with Computer Vision: How Picnic Tracks Inventory Automatically,Talk,,Sven Arends,https://cfp.pydata.org/pydata-amsterdam-2025/talk/LLGBC9/,77624,17878612-950e-5613-83b5-228046443ae3
2025-09-25,2025-09-25T11:20:00+02:00,2025-09-25T11:55:00+02:00,35,Nebula,Causal Inference Framework for incrementality : A Case Study at Booking to estimate incremental CLV due to App installs,Talk,,"Netesh, Nazlı Alagöz",https://cfp.pydata.org/pydata-amsterdam-2025/talk/VTDNYW/,77557,88af050f-017a-5a4f-bb2d-79141bf069e2
2025-09-25,2025-09-25T11:20:00+02:00,2025-09-25T11:55:00+02:00,35,Orbit,Actionable Techniques for Finding Performance Regressions,Talk,,"Thijs Nieuwdorp, Jeroen Janssens",https://cfp.pydata.org/pydata-amsterdam-2025/talk/NGDTYU/,77132,3f262e69-8fb3-5675-8278-0b9c174a01cd
2025-09-25,2025-09-25T11:20:00+02:00,2025-09-25T11:55:00+02:00,35,Voyager,Potato breeding using image analysis in a production setting,Talk,,"Dick Abma, Rik Nuijten",https://cfp.pydata.org/pydata-amsterdam-2025/talk/XA9P83/,77754,f04e680b-9de4-5284-9a05-d5b891f9bdad
2025-09-25,2025-09-25T12:05:00+02:00,2025-09-25T12:40:00+02:00,35,Apollo,"GenAI governance in practice: patterns, pitfalls & strategies across tools and industries",Talk,,Maarten de Ruiter,https://cfp.pydata.org/pydata-amsterdam-2025/talk/MYXUBZ/,78211,146a2e43-f8ff-55fb-a7d4-b98f6b855c9c
2025-09-25,2025-09-25T12:05:00+02:00,2025-09-25T12:40:00+02:00,35,Nebula,Flip the Plan: Fast-Track Your AI/ML Model Integration with a Back-to-Front Implementation Strategy,Talk,,Florenz Hollebrandse,https://cfp.pydata.org/pydata-amsterdam-2025/talk/E3WGUR/,77417,a535ed65-fc1f-5f27-b295-fda72594976c
2025-09-25,2025-09-25T12:05:00+02:00,2025-09-25T12:40:00+02:00,35,Orbit,From pixel to predictions: A journey through our CT image pipeline in pig breeding using POSIT,Talk,,Lisette van der Zande,https://cfp.pydata.org/pydata-amsterdam-2025/talk/N8GFXD/,79199,db75e9ae-a742-5ef0-9ea1-886d81baba4b
2025-09-25,2025-09-25T12:05:00+02:00,2025-09-25T12:40:00+02:00,35,Voyager,Formula 1 goes Bayesian: Time Series Decomposition with PyMC,Talk,,Wesley Boelrijk,https://cfp.pydata.org/pydata-amsterdam-2025/talk/CNB3VF/,77925,6ba796e4-0388-5847-94cd-15185805d1d3
2025-09-25,2025-09-25T13:40:00+02:00,2025-09-25T14:30:00+02:00,50,Apollo,Context is King: Evaluating Long Context vs. RAG for Data Grounding,Talk (interested to lengthen to deepdive),,Bauke Brenninkmeijer,https://cfp.pydata.org/pydata-amsterdam-2025/talk/CJZPRL/,77594,f75e4dfa-97b6-5c90-a433-782b7a7b5748
2025-09-25,2025-09-25T13:40:00+02:00,2025-09-25T14:30:00+02:00,50,Nebula,Streamlining data pipeline development with Ordeq,Talk (interested to lengthen to deepdive),,"Niels Neerhoff, Simon Brugman",https://cfp.pydata.org/pydata-amsterdam-2025/talk/9WEFB3/,77689,441b5a83-f64e-58a2-820a-17f27c52b727
2025-09-25,2025-09-25T13:40:00+02:00,2025-09-25T14:25:00+02:00,45,Orbit,"Leading through the GenAI hype cycle: the good, the bad, and the ugly",Talk (interested to lengthen to deepdive),,"Omar Hommos, Judith Redi, Ninghang Hu",https://cfp.pydata.org/pydata-amsterdam-2025/talk/9VAAW7/,81564,58800466-973b-55d1-94be-98261ac5fd52
2025-09-25,2025-09-25T13:40:00+02:00,2025-09-25T14:30:00+02:00,50,Voyager,Designing tests for ML libraries – lessons from the wild,Talk (interested to lengthen to deepdive),,"Sayak Paul, Benjamin Bossan",https://cfp.pydata.org/pydata-amsterdam-2025/talk/EMV9BE/,77653,82ddc752-48c9-564a-b247-de1ad5aae7ec
2025-09-25,2025-09-25T14:40:00+02:00,2025-09-25T15:15:00+02:00,35,Apollo,No labels? No problem! - Hunting Fraudsters with Minimal Labels and Maximum ML,Talk,,"Jaap Stefels, Itzel Belderbos",https://cfp.pydata.org/pydata-amsterdam-2025/talk/SPXPHH/,77545,b45ad00a-bb25-5fe2-a399-0b2a4c1ed986
